"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.861153650E-1,-1.705569386E0,8.118139267E0,4.779125690E0,9.573567488E0
4.881153650E-1,-1.681627393E0,8.120533943E0,4.788702488E0,9.576148168E0
4.901153650E-1,-1.657685399E0,8.130110741E0,4.805461884E0,9.588487131E0
4.921153650E-1,-1.636137605E0,8.149562836E0,4.827009678E0,9.612093586E0
4.941153650E-1,-1.619378209E0,8.163928986E0,4.855740547E0,9.635888051E0
4.961153650E-1,-1.616984010E0,8.175899506E0,4.889259338E0,9.662547640E0
4.981153650E-1,-1.626560807E0,8.180687904E0,4.920383930E0,9.683983306E0
5.001153650E-1,-1.640926003E0,8.180687904E0,4.951508522E0,9.702253830E0
5.021153650E-1,-1.657685399E0,8.185476303E0,4.980238914E0,9.723822440E0
5.041153650E-1,-1.676838994E0,8.185476303E0,5.004180908E0,9.739385909E0
5.061153650E-1,-1.693598390E0,8.175899506E0,5.028122902E0,9.746570071E0
5.081153650E-1,-1.712751985E0,8.173505783E0,5.049670696E0,9.759041464E0
5.101153650E-1,-1.729511499E0,8.168717384E0,5.049670696E0,9.757987901E0
5.121153650E-1,-1.748665094E0,8.161534309E0,5.044882298E0,9.752912862E0
5.141153650E-1,-1.760636091E0,8.156745911E0,5.040093899E0,9.748583990E0
5.161153650E-1,-1.765424490E0,8.151957512E0,5.030517101E0,9.740494711E0
5.181153650E-1,-1.770212889E0,8.144774437E0,5.011363506E0,9.725470091E0
5.201153650E-1,-1.779789686E0,8.137292862E0,4.992209911E0,9.711093978E0
5.221153650E-1,-1.786972284E0,8.137292862E0,4.970662117E0,9.701354903E0
5.241153650E-1,-1.786972284E0,8.144774437E0,4.951508522E0,9.697837760E0
5.261153650E-1,-1.779789686E0,8.156745911E0,4.939537525E0,9.700473501E0
5.281153650E-1,-1.775001287E0,8.163928986E0,4.941931725E0,9.706856094E0
5.301153650E-1,-1.770212889E0,8.171111107E0,4.958691120E0,9.720562125E0
5.321153650E-1,-1.765424490E0,8.175899506E0,4.982633114E0,9.735948290E0
5.341153650E-1,-1.760636091E0,8.183082581E0,4.999392509E0,9.749697710E0
5.361153650E-1,-1.763030291E0,8.187870979E0,4.999392509E0,9.754149499E0
5.381153650E-1,-1.777395487E0,8.199841499E0,4.994604111E0,9.764353822E0
5.401153650E-1,-1.791760683E0,8.211812973E0,4.996998310E0,9.778254996E0
5.421153650E-1,-1.801337481E0,8.221389771E0,5.001786709E0,9.790502375E0
5.441153650E-1,-1.808520079E0,8.218995094E0,5.004180908E0,9.791039362E0
5.461153650E-1,-1.808520079E0,8.216601372E0,4.999392509E0,9.786583083E0
5.481153650E-1,-1.801337481E0,8.218995094E0,4.987421513E0,9.781158951E0
5.501153650E-1,-1.791760683E0,8.214206696E0,4.968267918E0,9.765617445E0
5.521153650E-1,-1.782183886E0,8.207024574E0,4.949114323E0,9.748085163E0
5.541153650E-1,-1.772607088E0,8.199841499E0,4.929960728E0,9.730572916E0
5.561153650E-1,-1.765424490E0,8.192659378E0,4.920383930E0,9.718362482E0
5.581153650E-1,-1.770212889E0,8.197447777E0,4.908412933E0,9.717217773E0
5.601153650E-1,-1.779789686E0,8.204629898E0,4.898836136E0,9.720195398E0
5.621153650E-1,-1.789366484E0,8.209418297E0,4.891653538E0,9.722379108E0
5.641153650E-1,-1.786972284E0,8.216601372E0,4.889259338E0,9.726801372E0
5.661153650E-1,-1.775001287E0,8.221389771E0,4.896441936E0,9.732267103E0
5.681153650E-1,-1.767818689E0,8.221389771E0,4.908412933E0,9.736988765E0
5.701153650E-1,-1.765424490E0,8.226178169E0,4.917989731E0,9.745427333E0
5.721153650E-1,-1.763030291E0,8.230966568E0,4.927566528E0,9.753870941E0
5.741153650E-1,-1.753453493E0,8.238148689E0,4.939537525E0,9.764257470E0
5.761153650E-1,-1.746270895E0,8.242937088E0,4.951508522E0,9.773070680E0
5.781153650E-1,-1.741482496E0,8.242937088E0,4.958691120E0,9.775857545E0
5.801153650E-1,-1.731905699E0,8.230966568E0,4.961085320E0,9.765279082E0
5.821153650E-1,-1.724723101E0,8.214206696E0,4.963479519E0,9.751102007E0
5.841153650E-1,-1.727117300E0,8.209418297E0,4.958691120E0,9.745055185E0
5.861153650E-1,-1.736694098E0,8.211812973E0,4.956296921E0,9.747556507E0
5.881153650E-1,-1.741482496E0,8.209418297E0,4.956296921E0,9.746393652E0
5.901153650E-1,-1.736694098E0,8.199841499E0,4.949114323E0,9.733819373E0
5.921153650E-1,-1.729511499E0,8.192659378E0,4.939537525E0,9.721620681E0
5.941153650E-1,-1.729511499E0,8.190264702E0,4.917989731E0,9.708669780E0
5.961153650E-1,-1.736694098E0,8.185476303E0,4.891653538E0,9.692595268E0
5.981153650E-1,-1.739088297E0,8.178294182E0,4.862923145E0,9.672483928E0
6.001153650E-1,-1.731905699E0,8.168717384E0,4.846163750E0,9.654674730E0
6.021153650E-1,-1.724723101E0,8.161534309E0,4.834192276E0,9.641303181E0
6.041153650E-1,-1.724723101E0,8.156745911E0,4.824615479E0,9.632449748E0
6.061153650E-1,-1.729511499E0,8.159140587E0,4.822221279E0,9.634137388E0
6.081153650E-1,-1.734299898E0,8.163928986E0,4.824615479E0,9.640251404E0
6.101153650E-1,-1.734299898E0,8.168717384E0,4.829403877E0,9.646703149E0
6.121153650E-1,-1.734299898E0,8.173505783E0,4.838980675E0,9.655554199E0
6.141153650E-1,-1.731905699E0,8.175899506E0,4.848557949E0,9.661953439E0
6.161153650E-1,-1.724723101E0,8.175899506E0,4.862923145E0,9.667886223E0
6.181153650E-1,-1.724723101E0,8.180687904E0,4.874894142E0,9.677960387E0
6.201153650E-1,-1.729511499E0,8.187870979E0,4.879682541E0,9.687298019E0
6.221153650E-1,-1.729511499E0,8.187870979E0,4.882076740E0,9.688504245E0
6.241153650E-1,-1.729511499E0,8.185476303E0,4.884470940E0,9.687687479E0
6.261153650E-1,-1.734299898E0,8.187870979E0,4.882076740E0,9.689360175E0
6.281153650E-1,-1.741482496E0,8.192659378E0,4.877288342E0,9.692284072E0
6.301153650E-1,-1.746270895E0,8.195053101E0,4.886865139E0,9.699990116E0
6.321153650E-1,-1.755847692E0,8.195053101E0,4.903624535E0,9.710171472E0
6.341153650E-1,-1.772607088E0,8.190264702E0,4.910807133E0,9.712805901E0
6.361153650E-1,-1.796549082E0,8.187870979E0,4.913201332E0,9.716396817E0
6.381153650E-1,-1.825279474E0,8.190264702E0,4.927566528E0,9.731032470E0
6.401153650E-1,-1.849221587E0,8.195053101E0,4.946720123E0,9.749284885E0
6.421153650E-1,-1.865980983E0,8.192659378E0,4.961085320E0,9.757762052E0
6.441153650E-1,-1.880346179E0,8.199841499E0,4.968267918E0,9.770198998E0
6.461153650E-1,-1.889922976E0,8.209418297E0,4.970662117E0,9.781300502E0
6.481153650E-1,-1.892317176E0,8.211812973E0,4.968267918E0,9.782557063E0
